subscribers,SUBSCRIPTION_DATE,NB_SUBSCRIPTION,USAGE_DATE,usage_Type,Destination,Amount_DZD,Amount_data_DZD,Volume_Data_KB,Volume_KB_SC_Nbr,Nb_USAGE
7502,2023-01-30,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,3780.0,14
7502,2023-01-30,1,2023-01-31,DATA,DATA,0.0,0.0,5032859.0,5032859.0,803
7502,2023-01-30,1,2023-01-31,Transfert credit,Transfert credit,10.0,0.0,0.0,1.0,1
7502,2023-01-30,1,2023-01-31,VOICE,ON-NET,49.9,0.0,0.0,70800.0,167
7502,2023-01-30,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,1.0,1
7503,2023-01-10,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,4500.0,23
7503,2023-01-10,1,2023-01-31,VOICE,OFF-NET,14.97,0.0,0.0,1230.0,23
7503,2023-01-10,1,2023-01-31,VAS,Others,22.0,0.0,0.0,1.0,1
7503,2023-01-10,1,2023-01-31,DATA,DATA,0.0,0.0,1541187.26,1541187.26,47
7504,2022-08-04,1,2022-08-31,DATA,DATA,0.0,0.0,40381684.12,40381684.12,583
7504,2022-08-04,1,2022-08-31,VOICE,ON-NET,0.0,0.0,0.0,5070.0,36
7504,2022-08-04,1,2022-08-31,VOICE,OFF-NET,0.0,0.0,0.0,10230.0,58
7504,2022-08-04,1,2022-09-30,SMS,Others,100.0,0.0,0.0,1.0,1
7504,2022-08-04,1,2022-09-30,VOICE,OFF-NET,0.0,0.0,0.0,210.0,2
7504,2022-08-04,1,2022-09-30,VOICE,ON-NET,0.0,0.0,0.0,1830.0,6
7504,2022-08-04,1,2022-09-30,DATA,DATA,0.0,0.0,4353945.19,4353945.19,84
7504,2022-08-04,1,2022-10-31,DATA,DATA,0.0,0.0,2654840.11,2654840.11,148
7504,2022-08-04,1,2022-11-30,VOICE,OFF-NET,0.0,0.0,0.0,870.0,11
7504,2022-08-04,1,2022-11-30,VOICE,ON-NET,0.0,0.0,0.0,150.0,3
7504,2022-08-04,1,2022-11-30,DATA,DATA,0.0,0.0,10459230.83,10459230.83,133
7504,2022-08-04,1,2022-12-31,VOICE,OFF-NET,0.0,0.0,0.0,4920.0,28
7504,2022-08-04,1,2022-12-31,VOICE,ON-NET,0.0,0.0,0.0,2580.0,27
7504,2022-08-04,1,2022-12-31,DATA,DATA,0.0,0.0,19965377.08,19965377.08,265
7504,2022-08-04,1,2022-12-31,VOICE,FIX,0.0,0.0,0.0,60.0,2
7504,2022-08-04,1,2023-01-31,DATA,DATA,0.0,0.0,6295277.87,6295277.87,92
7505,2023-01-09,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,23220.0,30
7505,2023-01-09,1,2023-01-31,DATA,DATA,0.0,0.0,25003354.31,25003354.31,490
7505,2023-01-09,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,11820.0,20
7506,2022-11-17,1,2022-11-30,VAS,Others,22.0,0.0,0.0,1.0,1
7506,2022-11-17,1,2022-11-30,SMS,ON-NET,0.0,0.0,0.0,1.0,1
7506,2022-11-17,1,2022-11-30,DATA,DATA,0.0,0.0,18910742.73,18910742.73,276
7506,2022-11-17,1,2022-11-30,VOICE,OFF-NET,0.0,0.0,0.0,510.0,10
7506,2022-11-17,1,2022-11-30,VOICE,ON-NET,0.0,0.0,0.0,2430.0,35
7506,2022-11-17,1,2022-12-31,VOICE,OFF-NET,9.98,0.0,0.0,330.0,8
7506,2022-11-17,1,2022-12-31,VOICE,ON-NET,14.97,0.0,0.0,6270.0,44
7506,2022-11-17,1,2022-12-31,SMS,ON-NET,4.99,0.0,0.0,1.0,1
7506,2022-11-17,1,2022-12-31,DATA,DATA,0.0,0.0,29470517.46,29470517.46,234
7506,2022-11-17,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,30.0,1
7506,2022-11-17,1,2023-01-31,DATA,DATA,0.0,0.0,3628371.36,3628371.36,97
7507,2023-01-04,1,2023-01-31,VOICE,ON-NET,249.5,0.0,0.0,9750.0,23
7507,2023-01-04,1,2023-01-31,VOICE,OFF-NET,224.55,0.0,0.0,1380.0,19
7507,2023-01-04,1,2023-01-31,SMS,OFF-NET,94.81,0.0,0.0,19.0,19
7507,2023-01-04,1,2023-01-31,SMS,ON-NET,9.98,0.0,0.0,2.0,2
7509,2023-01-18,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,8.0,8
7509,2023-01-18,1,2023-01-31,DATA,DATA,0.0,0.0,35005327.56,35005327.56,1062
7509,2023-01-18,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,58110.0,349
7509,2023-01-18,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,18060.0,185
7509,2023-01-18,1,2023-01-31,SMS,OFF-NET,0.0,0.0,0.0,3.0,3
7512,2023-01-22,1,2023-01-31,VOICE,ON-NET,39.92,0.0,0.0,30300.0,282
7512,2023-01-22,1,2023-01-31,SMS,OFF-NET,4.99,0.0,0.0,3.0,3
7512,2023-01-22,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,4.0,4
